Article_num,EAN,Map,Plant,Stor_loc,Material_description,Segment,Family,Class
491214021,8901719126505,19.93,U2RZ,1000,PARLE HIDE & SEEK CHOCO ROLLS 125 G CBD,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
490162338,4005900294456,137.82,U2RZ,2997,NIVEA MEN FRSH ACT DEO ROLLON 50ml BTL,PERSONAL CARE,P'SONAL HYGN,GENRL P'SONAL HYGN
490162338,4005900294456,137.82,U2RZ,1000,NIVEA MEN FRSH ACT DEO ROLLON 50ml BTL,PERSONAL CARE,P'SONAL HYGN,GENRL P'SONAL HYGN
490766703,8901030659690,44.78,U2RZ,1000,VASELINE ROSY LIP CARE 10g TUBE,PERSONAL CARE,SKIN PRODUCTS,SKIN CARE
493721079,8904132958579,171.54,U2RZ,1000,HOME ONE NONSTICK SD DEEP KADAI 20CM,HOUSEWARE,COOKWARE,POTS N PANS
491551666,8904132912908,23.59,U2RZ,1000,SNACTAC TASTY PEANUTS 150 g PP,CONFECTIONARY & SNACKS,SNACKS,SNACKS
491321336,8908008660160,30.86,U2RZ,1000,JJ BANANA CHIPS FRYUMS 200 G PP,PROCESSED FOOD,READY TO COOK,READY TO FRY
491073956,8901719127830,35.09,U2RZ,1000,PARLE KISMI ELAICHI TOFFEE 276.36GM PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
493696042,8904109498589,108.98,U2RZ,1000,PATNJALI NEEM KANTI BDY CLNSR 150GX4 WRP,PERSONAL CARE,PERSONAL WASH,BODYWASH
493647503,8905532000356,94.32,U2RZ,1000,BHARAT MOONG DAL 1 KG PP,STAPLES,PULSES,PULSES
490936923,8902080204021,11.31,U2RZ,1000,MIRINDA 250ml PET,BEVERAGES,DRINKS,CARBONATED SOFT DRINKS
493660699,8904132943674,4.82,U2RZ,1000,DOZO 2X POWER DISHWASH LIQ 65ml SCH,HOME CARE,H'HOLD CLNG/CARENG/CARE,H'HOLD CLNG
492847892,8901207042454,209.39,U2RZ,1000,ODONIL AIR FRSHNR MIX BLOCKS 72G PO4 CBD,HOME CARE,H'HOLD CLNG/CARENG/CARE,FRESHENERS
492866340,8901810125421,24.05,U2RZ,1000,HEM MADHUR CHANDAN INCENSE CONES 100gCBD,#N/A,#N/A,#N/A
491439966,8903622005236,359.3,U2RZ,1000,SOFY AB H&H SPRXL+ ULTSLM SNTRNPK 44P PP,PERSONAL CARE,P'SONAL HYGN,FEM HYGN
491696657,7622201762254,57.5,U2RZ,1000,CDBRY DAIRY MLK SLK MOUSSE CHCOLT 50G PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
491099584,8901138822224,55.38,U2RZ,1000,HIMALAYA EXT MOSTRNG BABY SOAP 125 g CBD,BABY CARE,BABY HYGN,BABY HYGN/GROOMING
491152855,491152855,73.49,U2RZ,1000,SAAJ UNO PLASTIC CLOTHES HANGER 6PCS ASS,HOUSEWARE,Laundry Essential,Laundry Utlility
492172031,8901012165768,39.73,U2RZ,1000,STAYFREE SEC NIGHTS 320MM SNT PAD 6PC PP,PERSONAL CARE,P'SONAL HYGN,FEM HYGN
493721199,8904132945579,75.19,U2RZ,1000,ENZO SMARTWASH DETERGENT POWDER 1KG PP,HOME CARE,FABRIC CARE,LAUNDRY DETERGENTS
494260158,8904132969582,3,U2RZ,1000,TOFFEEMAN DLUX BUTTR TOFFEE 21G STKPK PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
491551914,8901393019124,31.25,U2RZ,2997,HAPPYDENT WAVE MNT XYLTL SF CG 28.9g PET,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
491551914,8901393019124,31.25,U2RZ,1000,HAPPYDENT WAVE MNT XYLTL SF CG 28.9g PET,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
491586642,8906008440263,130.17,U2RZ,1000,MAHALAXMI DRY FRUIT GUR GAJAK 500 g CBD,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
490014137,8904126501644,21.77,U2RZ,1000,ANJALI SL STEEL PEELR CUM SCRPPR NO 2 PP,HOUSEWARE,KITCHENWARE,KITCHEN TOOLS
494401023,8908017778870,95.05,U2RZ,1000,PL RAISIN 500 GM PP,STAPLES,DRY FRUITS,DRY FRUITS
491161296,8901063093089,14.16,U2RZ,1000,BRIT GOODDAY CSHW COOKIES 100G PP,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
491697617,8907234013788,77.58,U2RZ,1000,BIC CELLO COLOURUP CELEBRATION CLRNG KIT,STATIONERY,SCHOOL & ART PRODUCTS,"CRAYONS, CAKES & SKETCH PENS"
493830068,8904393403481,100,U2RZ,1000,KVI 470 BO POLICE CAR,TOYS,VEHICLES & ACCESSORIES,VEHICLES & ACCESSORIES NON POWERED
492650540,8902330050798,66.38,U2RZ,1000,ASIAN AROMA RND PL SPICE BOX ASR,HOUSEWARE,Kitchen Storage,Containers
490022514,8906014882132,2270.05,U2RZ,1000,GULAB FILTR GRUNDNT OIL GOLD 15 L TIN,STAPLES,EDIBLE OILS,EDIBLE OILS
490005435,8901786061006,62.05,U2RZ,1000,EVEREST CHAT MASALA 100 g CBD,STAPLES,SPICES & CONDIMENTS,BLENDED SPICES
490052696,42204084,234.37,U2RZ,1000,NIVEA SOFT LIGHT MOSTRSNG CRÈM 200ml CON,PERSONAL CARE,SKIN PRODUCTS,SKIN CARE
491698131,8901725712846,29.76,U2RZ,1000,MNGLDP ANSHR PUJA AGRBT SWTFLRL 130N WRP,GM FMCG,Pooja Needs,Incense & Dhoop
491185259,8902901223286,47.16,U2RZ,1000,GOOD LIFE JEERASAR RICE 1 kg PP,STAPLES,RICE,RICE
490069985,8901192107626,138.03,U2RZ,1000,CATCH TURMERIC POWDER 500 g PP,STAPLES,SPICES & CONDIMENTS,POWDER SPICES
490021594,490194191,13.13,U2RZ,1000,RUCHI FROSTY PINK PLASTIC MUG 1L,HOUSEWARE,Home Essential,Bath Essential
491168145,8906019564040,51.83,U2RZ,1000,REAL NMKN BIT BVNGRI GANTHIYA 350g PCH,CONFECTIONARY & SNACKS,SNACKS,SNACKS
493180379,8901735370135,134,U2RZ,1000,LAOPALA CLSQ PLAIN SRVNG BWL B1G1 1450ml,HOUSEWARE,TABLEWARE,OPALWARE
490553037,8901207021220,79.19,U2RZ,1000,REAL FRUIT POWER APPLE DRINK 1 L TPK,BEVERAGES,JUICES,FRUIT JUICES & DRINKS
493180384,8901735373075,36,U2RZ,1000,LAOPALA IVRY CRM PLN SOUP BWL B1G1 340ml,HOUSEWARE,TABLEWARE,OPALWARE
490005814,8901248253550,117.44,U2RZ,1000,EMAMI F&H SP LNGLSTNG RDANC FC CRM60GCBD,PERSONAL CARE,SKIN PRODUCTS,SKIN CARE
490694642,8906066201677,84.1,U2RZ,1000,KEYA GARLIC BREAD SEASONING 50 g BTL,STAPLES,SPICES & CONDIMENTS,HERBS & SEASONINGS
491539518,8904097594126,46,U2RZ,1000,SKI HOMEWARE TRANSPERENT EXAM PAD,STATIONERY,PAPER PRODUCTS,PADS
491376435,8906080600784,30.36,U2RZ,1000,PAPER BOAT ANAR DRINK 200ml PCH,BEVERAGES,JUICES,FRUIT JUICES & DRINKS
492340008,8901262030564,111.15,U2RZ,1000,AMUL COW GHEE 200 ml PET,DAIRY,DAIRY - STAPLE,GHEE
490011030,8904043701103,31,U2RZ,1000,SHREE GANTOOR CHILLY STEMLESS 100 G PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
491203362,8901548146873,76.45,U2RZ,1000,EVERYUTH PURIF NEEM FACE WASH 150g TUBE,PERSONAL CARE,SKIN PRODUCTS,SKIN CARE
491227967,8901888005410,79.3,U2RZ,1000,REAL ACTIV MIXED FRUIT DRINK 1 LTR TPK,BEVERAGES,JUICES,FRUIT JUICES & DRINKS
490073720,8901747001140,115.84,U2RZ,1000,WAGH BAKRI DUST TEA 250 g PP,BEVERAGES,TEA & COFFEE,TEA
490000086,8901786140503,60.59,U2RZ,1000,EVEREST SHAHI BIRYANI  MASALA 50 g CBD,STAPLES,SPICES & CONDIMENTS,BLENDED SPICES
490998031,4987176210845,576.31,U2RZ,1000,PAMPERS ALRND PRTC AR PNT 9-14kg L 36NPP,BABY CARE,BABY HYGN,BABY HYGN/GROOMING
494356825,8901058009002,36.13,U2RZ,1000,MILKYBAR CHOO STRW SHAREBAG 80 G PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
492427557,8908016724007,941.91,U2RZ,1000,KUKKR GREEN CARDAMOM 500g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
490006489,8901972058629,16.82,U2RZ,1000,DUKES WAFFY ORANGE WAFERS 60G PP,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
490225938,8901030930966,40.79,U2RZ,1000,CMFRT AFT WSH MRG FRSH FRC CDNR 210MLPET,HOME CARE,FABRIC CARE,LAUNDRY AIDS
491417867,8906102910006,139,U2RZ,1000,ESERIES STRAIGHT KID UMBRELLA,FURNISHINGS & DECOR,FURNISHINGS,UMBRELLA
490011029,8904043701080,88,U2RZ,1000,SHREE IMLI 500 g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
493661438,8902901127218,38.54,U2RZ,1000,GOOD LIFE NUTMEG 50 g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
493830083,8906044240698,14,U2RZ,1000,SAYA PVC ZIPBAG TRAN MESH NET POCKET A6,STATIONERY,OFFICE CONSUMABLES & STATIONERY,FOLDERS & ACCESSORIES
493680651,8904132969056,39.29,U2RZ,1000,MY HOME DSNFT FC CITRUS 1L PET,HOME CARE,H'HOLD CLNG/CARENG/CARE,H'HOLD CLNG
490094108,8906032016571,41.47,U2RZ,1000,NUTRELA SOYA CHUNKS 200g CBD,STAPLES,PULSES,PULSES
491110230,8906007285018,41.88,U2RZ,1000,FORTUNE SUPERFINE BESAN 500 g PP,STAPLES,FLOURS,FLOURS
490088775,8901207900730,351.12,U2RZ,1000,DABUR SHILAJIT CAPSULES 100 PCS BTL,HEALTH,AYURVEDIC,GENERAL AYURVEDIC REMEDIES
490306104,8901030873232,150.06,U2RZ,1000,DOVE NTRM MSTRE BW GTLEXFLITING 190mlPET,PERSONAL CARE,SKIN PRODUCTS,BODY WASHING
